Reporting Mark,Number,Owner,Type,Length,Status,Location
ATSF,10245,ATSF,Box,50,Empty,Dallas
USLX,15006,USLX,Box,60,Loaded,Chicago
GTW,623546,GTW,Centerbeam,73,Empty,Detroit
BNSF,586135,BNSF,Wood Chip Hopper,60,Loaded,Springfield
REMX,1052,RMEX,refrigerator,50,Empty,Quincy
SP,45222,SP,Flat,70,Loaded,Seattle
NS,123456,NS,Tank,60,Empty,Houston
CSXT,789012,CSXT,Gondola,55,Loaded,Lexington
CIRR,1275,CIRR,Box,50,Empty,Stage Track 1
SHPX,3265,SHPX,tank,50,Loaded,Stage Track 1
GATX,69584,GATX,tank,50,Loaded,Stage Track 1
